gvkey,ceoname,directorid,execid
018872,Dick Costolo,481563,55347
018872,Jack Dorsey,1132809,55351
019352,Sheila Lirio Marcelo,1334463,55678
019580,Joseph Ripp,14167,46368
019580,Rich Battista,310360,51441
019649,Tom Klein,456261,29850
019906,Matt Maloney,1260335,57131
019927,Ken Moelis,1008398,63835
020423,Gary Loveman,61092,16582
020430,Jack Remondi,43236,23367
020686,Margaret M. Keane,1111132,48391
020779,John Chambers,31670,1417
020779,Chuck Robbins,536628,44984
020904,Stephen P. MacMillan,41481,25904
021124,Steve Sather,1451487,50062
021487,Amin Khoury,25109,1644
021825,Bruce Van Saun,35815,14582
022325,Moshe Gavrlelov,350055,10578
022672,Randy Garutti,1464892,50286
023071,Blake Irving,1077516,41652
023238,Chad Dickerson,1349878,57147
023252,Farooq Kathwari,88797,9847
023697,J. Clifford Hudson,141229,9385
023812,Leonard Schleifer,201093,9752
023843,Charles R. Morrison,515592,50292
023978,Mario Longhi,643509,44012
024076,Mark Butler,1354817,50070
024113,Ron Shaich,182052,6428
024171,Michael MacDonald,879711,11930
024197,Jonathan W. Ayers,34403,21002
024291,Julia Stewart,53911,19454
024344,Jeffrey Leiden,33491,23051
024405,Anders Gustafsson,204453,23146
024468,George Scangos,272786,41346
024468,Michel Vounatsos,1694109,51476
024616,Dan Schulman,54611,22147
024731,David Henry,142180,26161
024750,Jonathan Steinberg,1190245,47958
024782,Joe Papa,206108,24736
024800,Paul Jacobs,34514,22816
024800,Steve Mollenkopf,640531,36696
024861,Chris Rondeau,1605029,63850
024893,John Mackey,61837,7530
024893,Walter Robb,203266,18198
024978,Oliver G. Brewer III,348230,44373
025056,Jeffery Bewkes,36730,24597
025119,Jeffery Lorberbaum,64542,8449
025157,Frank Bisignano,534932,35314
025180,Martin Richenhagen,183922,27857
025283,Kevin Mansell,35698,13382
025356,Tim Wentworth,272649,28110
025434,Howard Schultz,35235,887
025434,Kevin Johnson,31844,27193
025509,David Dunlap,54767,15946
025756,Scott Dietzen,1248928,64526
025964,Sam Thomas,604495,48086
026156,Meg Whitman,34345,5706
027119,Michael Wilson,220333,12114
027780,Dan Hurwitz,180658,29722
027786,Robert D. Lawler,890396,46256
027794,Chuck Swoboda,90127,18580
027907,Tarang Amin,750957,59348
027928,Brad Smith,444827,28880
027980,James E. Lillie,335658,17016
028191,Adam Goldstein,444372,46761
028191,Richard Fain,13413,46764
028295,Maurice Taylor,448371,11995
028340,Steven Tanger,275490,33430
028349,Tom Wilson,34944,10669
028408,Dan Coker,346381,47504
028629,Richard Campo,338840,32870
028648,David Lenhardt,453231,30039
028733,David Neithercut,207481,21144
028806,Chris Anzalone,592729,57229
028930,Arne Sorenson,38571,20993
029011,Keith Smith,326639,25835
029082,Stephen Lebovitz,180832,51498
029108,Andy Hendricks,1194201,44415
029127,Herve Hoppenot,1249099,47509
029392,Mark Costa,534777,32619
029609,Irwin Simon,202998,18277
029733,Ward Nye,841525,33192
029736,Greg Sandfort,452181,28409
029751,Luke Kissam,487275,29189
029804,Martin Flanagan,36584,4457
029984,Hamid Moghadam,60091,26273
030098,Vicente Reynal,1912562,50678
030145,Dale Redman,1471063,54526
030576,Tom Stanton,204208,17327
030662,James Meyer,34920,34859
030962,Paul Murphy,141709,18535
031227,Dawn Zier,502982,38992
031846,Clarence Otis,43691,19771
032106,Lorenzo Simonelli,641184,55154
032280,Chris Albrecht,1079020,44698
033152,Drew Houston,1133732,63911
033767,Patrick Spence,1123519,61570
035077,Dara Khosrowshahi,1337137,16588
060900,Joe Clayton,52367,14346
060902,Mark Dunkerley,797404,47966
060923,Stephen King,1054451,50109
060992,Ahmad Chatila,490142,32957
061494,Stanley Bergman,85377,22703
061513,Sanjay Mehrotra,205405,21604
061574,Chris O'Connell,545218,40311
061676,Kirill Tatarinov,272180,23462
061739,Liam McGee,333604,27736
061759,David Demshur,329012,51864
062263,David Brennan,332327,51186
062634,Marissa Mayer,765769,44708
062689,Jay Fishman,32193,12698
062897,Rick Goings,67532,3075
062921,Kevin Gorman,206587,60255
063080,Ajei Gopal,545851,41809
063739,Greg Trojan,334369,43752
063866,Michael Bonney,328967,32944
064344,Rob Katz,274508,64291
064356,Gary Smith,86587,18355
064552,Frederic Tomczyk,338340,34761
064630,Strauss Zelnick,333171,37577
064768,Jeff Bezos,45136,15055
065399,Jay Craig,488075,34735
065417,Greg Creed,447312,35330
065615,Steve Joyce,605709,55089
065710,Greg Silvers,338802,34439
065718,Earl Hesterberg,350029,29923
066065,Michael Kneeland,220005,26766
066708,Scott McGregor,34806,29049
104432,Kevin Sheehan,36329,24595
104432,Frank Del Rio,1451131,51882
105365,Jim Taiclet,183686,32778
105936,Tim Boyle,91412,57679
110179,Debra Cafaro,180625,36129
111864,Francisco D'souza,206379,26787
114524,John Donahoe,103257,29529
114524,Devin Wenig,34678,42986
114628,Lloyd Blankfein,36838,24365
115404,David Schlanger,1308706,49431
116787,Steve Singh,327123,32391
118267,Gary Burnison,275802,23615
119314,Jeffery Boyd,203073,12759
119314,Chris Soder,207276,43297
119314,Darren Huston,37571,43484
120824,Bill Sandbrook,626274,48461
120877,Susan Cameron,274029,27675
120877,Daniel Delen,536007,32680
121077,John McAdam,200882,4247
121718,Kevin Johnson,31844,27193
121718,Rami Rahim,1275216,44513
122061,Vivek Ranadive,181722,18583
122841,Jim Whitehurst,333755,28220
124434,Larry Fink,140463,27717
125595,Tom Leighton,183176,46050
126136,Thomas Rutledge,334487,40632
126296,Dara Khosrowshahi,43546,16588
126296,Mark Okerstrom,895186,43301
133366,Michael Mussallem,90062,12601
133768,Steven Kandarian,485706,35296
133885,Michael Morrissey,272802,55599
135484,Maggie Wilderotter,69432,28242
135990,David Crane,13271,37704
137131,James Foster,142122,5910
138205,Francis deSouza,647025,43454
138205,Jay Flatley,337386,48495
138743,Steve Smith,532783,36529
140760,Hugh Grant,58867,23086
142814,Richard Bergman,330400,40775
142953,Irene Rosenfeld,40941,23077
143357,Julie Sweet,1071350,48510
143912,Rick Smith,345087,45630
144066,Kelly Ortberg,502169,32337
144998,Brad Jacobs,181484,20085
145046,Joseph R. Swedish,341794,46075
145049,Paul Raines,489031,35719
145552,Michael Neidorff,201946,34400
147305,Dave Barger,89997,26920
147305,Robin Hayes,620576,35886
147579,Reed Hastings,182088,31461
147988,Michael S. Burke,533188,37775
148470,Steve Case,1086551,41723
149070,Terry Duffy,91452,32515
149318,Steve Wynn,70887,643
149337,Robert Greifeld,52822,21017
149337,Adena Friedman,483505,34245
149738,John Thain,34147,18341
150139,Edward Stack,182248,30617
152149,Mario Molina,202987,33256
155393,James Volker,348869,56267
156617,Dr. Ron Cohen,603226,43621
157057,Alan Colberg,853893,43067
157218,Sally Smith,338419,32840
157373,Curtis Morgan,376483,28776
157855,Marc Benioff,375926,35712
158354,Thomas McInerney,202340,14472
158563,Robert Blum,340321,51558
158742,Rick McVey,446101,43625
158743,David Wenner,486932,41062
160211,Patrick Doyle,333721,44847
160912,Jeffery Katzenberg,372495,34015
160989,John Calamos Sr.,445866,41738
162448,Kevin Crutchfield,370374,42006
162733,Doug Bergeron,373936,42013
162887,Kevin Sayer,346517,17483
163610,Jeffrey Sprecher,489174,33111
164296,David Zaslav,202282,37849
164416,Colin Angle,506815,42039
164755,John McCarvel,505263,30432
165051,Thomas Werner,332337,60843
165052,Kevin Plank,488379,34354
165123,Roger A. Krone,881227,47692
165675,Phillippe Dauman,23476,6035
165675,Bob Bakish,23537,29718
165746,Michael Rapino,551171,34509
165914,Montgomery Moran,489398,34305
166593,Stephen Waldis,513433,40755
170384,Michael Small,273478,12822
170617,Mark Elliot Zuckerberg,646335,45313
171007,John Donahoe,103257,29529
171067,Mark McLaughlin,452885,32012
174022,Richard Smith,36324,52987
174222,Nigel Travis,271134,23108
174389,Gary Lauer,553091,5741
174729,Steve Holmes,9492,7654
